run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,33,700.0,432908.5063821712,4005714.330070806,8.752874374389648,8m-array,8.0,270.7898213310319,104.24045538494197,True,111.30819050879089,1.432793311015558,-0.0634969905767242,0.15355214476585388,0.0
near,34,600.0,432889.87600900984,4005488.6855444955,8.053077697753906,8m-array,8.0,276.2044621549947,102.07388452209905,True,119.90989970207877,1.3034333515517602,-0.14874514301399688,0.15355214476585388,0.0
near,34,650.0,432936.04229606275,4005507.8864283226,8.423083305358887,8m-array,8.0,130.74375599223663,93.3807621299308,True,118.7246376811593,0.10123524944633022,-0.21346770178647068,0.15355214476585388,0.0
near,34,700.0,432982.2085831157,4005527.08731215,8.77466869354248,8m-array,8.0,266.27579964124607,103.32254115783341,True,115.8475148262895,1.2985024757805128,-0.10811603241758772,0.15355214476585388,0.0
near,35,550.0,432913.822143615,4005315.0103056873,7.876635551452637,8m-array,8.0,274.7278366256616,87.9511041506101,True,108.6540309615006,1.5284642842473648,-0.19053988727050686,0.15355214476585388,0.0
near,35,600.0,432958.38616879645,4005337.6829248485,8.251113891601562,8m-array,8.0,276.8687136211307,93.3807621299308,True,106.71908624825758,1.5943692300462438,-0.12498536660347914,0.15355214476585388,0.0
near,35,650.0,433002.9501939779,4005360.3555440097,8.610335350036621,8m-array,8.0,125.67744995357343,95.07601314665045,True,120.16918065397813,0.045837620508174304,-0.20881533327236668,0.15355214476585388,0.0
near,35,700.0,433047.5142191594,4005383.028163171,8.88352108001709,8m-array,8.0,94.9558845222049,103.97144730968249,True,117.39191676232687,-0.19112075906849912,-0.11432192115761797,0.15355214476585388,0.0
near,36,500.0,432933.9827831687,4005181.371334704,7.740258693695068,8m-array,8.0,85.9497811043904,90.90826550123958,True,104.28531919963369,-0.17582089440742388,-0.1282736036199532,0.15355214476585388,0.0
near,36,550.0,432975.2417380596,4005209.6148939934,8.060526847839355,8m-array,8.0,271.4215521460389,256.0000000000032,False,105.66237936924678,1.5687624466370536,1.4228112363946295,0.15355214476585388,0.0
near,36,600.0,433016.5006929505,4005237.858453282,8.439375877380371,8m-array,8.0,121.3306413466965,93.3807621299308,True,105.01527736652167,0.1553618139123829,-0.11078878738742348,0.15355214476585388,0.0
near,36,650.0,433057.7596478414,4005266.1020125714,8.787701606750488,8m-array,8.0,125.61865472147355,103.97144730968249,True,121.72536744722959,0.03198418995064256,-0.14585226161049614,0.15355214476585388,0.0
near,36,700.0,433099.0186027323,4005294.34557186,9.059237480163574,8m-array,8.0,125.52759285283882,103.97144730968249,True,108.98986811365303,0.15173634967555416,-0.04604483784435276,0.15355214476585388,0.0
near,37,450.0,432961.28342143894,4005067.0205226922,7.699342727661133,8m-array,8.0,99.80104383471473,98.08141160664577,True,104.96820380125276,-0.04922595395003182,-0.06560836467818831,0.15355214476585388,0.0
near,37,500.0,432998.25914978015,4005100.6775503927,8.02609634399414,8m-array,8.0,113.8781862261973,90.90826550123958,True,106.22828813889711,0.07201375661158815,-0.14421791884310586,0.15355214476585388,0.0
near,37,550.0,433035.23487812135,4005134.3345780936,8.342055320739746,8m-array,8.0,114.94836292178074,113.34134434047692,True,112.46897186699485,0.022045111763962844,0.007756561289754993,0.15355214476585388,0.0
near,37,600.0,433072.2106064625,4005167.991605794,8.639941215515137,8m-array,8.0,113.15323312991133,87.80727559296444,True,105.92688204675945,0.0682201811619636,-0.17105767774601766,0.15355214476585388,0.0
near,37,650.0,433109.1863348037,4005201.6486334945,8.986482620239258,8m-array,8.0,116.38925708706402,103.97144730968249,True,121.81731712235381,-0.04455901807325002,-0.1464969860955554,0.15355214476585388,0.0
near,38,500.0,433092.87371630536,4005003.232019555,8.47128677368164,8m-array,8.0,116.25842517073724,93.77147832230494,True,109.27456902764868,0.06391108384350153,-0.14187281490372328,0.15355214476585388,0.0
near,38,550.0,433128.7461002029,4005038.062639324,8.758837699890137,8m-array,8.0,108.85356231879896,256.0000000000032,False,109.90871643403835,-0.009600276934110474,1.3292056199531856,0.15355214476585388,0.0
near,38,600.0,433164.61848410044,4005072.893259093,9.039460182189941,8m-array,8.0,114.54190586538124,85.20195014019507,True,123.66960011273288,-0.07380709761356996,-0.31105178586711735,0.15355214476585388,0.0
near,41,550.0,433423.6206833473,4004291.2157389303,8.987543106079102,8m-array,8.0,126.60455444846109,113.77777777777767,True,109.00698156751422,0.16143528265708085,0.04376596931370513,0.15355214476585388,0.0
near,42,450.0,433312.09726567665,4004127.383659695,7.819262504577637,8m-array,8.0,115.85446231615764,90.42249695365119,True,110.48582629116052,0.048591174137117665,-0.18159188387329384,0.15355214476585388,0.0
near,42,500.0,433361.9768485642,4004123.915632739,8.169418334960938,8m-array,8.0,112.98813189770028,97.29121616172066,True,107.9526223508309,0.04664555095757361,-0.09876004822247075,0.15355214476585388,0.0
near,42,550.0,433411.85643145174,4004120.4476057836,8.507616996765137,8m-array,8.0,137.90036281033312,109.43546878142905,True,109.2145304737494,0.2626558225553932,0.0020229753927545335,0.15355214476585388,0.0
near,42,600.0,433461.7360143393,4004116.979578828,8.77393913269043,8m-array,8.0,123.59628450666044,103.97144730968249,False,110.74102734917099,0.11608396152002731,-0.061129828768372696,0.15355214476585388,0.0
near,43,500.0,433358.6116811475,4003998.4060739484,7.757280349731445,8m-array,8.0,121.25335118940819,101.11392070827051,True,104.74674120435311,0.15758590477628243,-0.03468194288732318,0.15355214476585388,0.0
near,43,550.0,433408.5890542053,4003999.910129215,8.126778602600098,8m-array,8.0,116.5499053671331,109.43546878142905,True,108.76040348505778,0.07162075196921736,0.006206903199508895,0.15355214476585388,0.0
near,43,600.0,433458.566427263,4004001.414184482,8.477105140686035,8m-array,8.0,113.3322083980556,109.43546878142905,True,109.04488938366316,0.03931701007378674,0.0035818221282399865,0.15355214476585388,0.0
