phase,case,replicate,transfer,gain,selected,recovered,s1_hat,s2_hat,s1_true,s2_true,separation_true,tolerance,alternatives,boundary
evaluation,physical_separable,2,geometry,0.5402511713650839,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,3,constant,0.5144908879051191,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,3,geometry,0.5214145225054401,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,4,constant,0.5117887957467456,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,4,geometry,0.5195620641811138,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,5,constant,0.4921592232828039,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,5,geometry,0.5031115168613665,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,6,constant,0.5070801130423408,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,6,geometry,0.5134711701520782,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,7,constant,0.5013430477278606,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,7,geometry,0.5095697522634222,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,8,constant,0.5148670530040071,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,8,geometry,0.5264822819917283,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,9,constant,0.5129898283015804,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,9,geometry,0.5227662792288779,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,10,constant,0.5297476690310474,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,10,geometry,0.5390533085320128,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,11,constant,0.5171821435596503,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_separable,11,geometry,0.5251535095590011,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,0,constant,0.18092965096519875,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,0,geometry,0.18538250009656343,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,1,constant,0.12976020044079828,False,False,0.2666666666666666,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,1,False
evaluation,physical_weak_persistent,1,geometry,0.1367595054473787,False,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,1,False
evaluation,physical_weak_persistent,2,constant,0.13259022225726957,False,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,1,False
evaluation,physical_weak_persistent,2,geometry,0.1419012343830136,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,3,constant,0.15253176129349166,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,3,geometry,0.1522428630469107,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,4,constant,0.17590622618705398,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,4,geometry,0.17775444156192222,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,5,constant,0.17032119220675057,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,5,geometry,0.17514712024583723,True,True,0.19999999999999996,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,0,False
evaluation,physical_weak_persistent,6,constant,0.11094203017278625,False,False,0.2666666666666666,0.46666666666666656,0.214358311506765,0.45828742987471477,0.24392911836794978,0.03,1,False
